name,longitude,latitude
22E3,24.652711,59.394967,
237B,24.667527,59.397066,
2299,24.67508,59.392499,
23AF,24.675242,59.397835,
233B,24.680598,59.398742,
22FF,24.682296,59.398977,
2350,24.689812,59.399929,
237E,24.693419,59.406793,
2007,24.707725,59.402961,
230F,24.721546,59.390492,
2349,24.723788,59.39259,
2095,24.725189,59.394221,
2078,24.726027,59.395913,
2018,24.726473,59.396803,
2071,24.726844,59.397567,
2004,24.726405,59.398497,
2046,24.717971,59.402476,
2021,24.719379,59.402491,
2009,24.720778,59.402388,
2028,24.722887,59.402299,
206D,24.728286,59.401659,
20A6,24.731677,59.401892,
2024,24.732837,59.402407,
2148,24.733223,59.403265,
22EF,24.732157,59.405351,
2355,24.704173,59.408352,
2318,24.704658,59.40954,
22E2,24.705259,59.410328,
233F,24.706197,59.410884,
233D,24.708634,59.413882,
21BA,24.717511,59.413932,
21BF,24.718173,59.414682,
235D,24.71112,59.417949,
22ED,24.711977,59.418351,
2039,24.714059,59.420739,
2343,24.714281,59.421569,
