name,longitude,latitude
22E9,24.866791,59.441899,
2365,24.863844,59.446337,
235C,24.862349,59.448301,
2276,24.860874,59.450254,
222C,24.859839,59.450831,
2363,24.85717,59.451284,
2247,24.846471,59.451206,
22F5,24.842735,59.451513,
23B0,24.84151,59.451631,
22DC,24.835408,59.45231,
2252,24.833185,59.450581,
22A0,24.81966,59.446008,
2341,24.820526,59.445205,
221D,24.823645,59.441013,
2298,24.825102,59.440345,
22CC,24.830771,59.439431,
22D5,24.833141,59.439985,
2379,24.837022,59.440112,
231F,24.85042,59.440226,
2398,24.856255,59.440649,
22A3,24.860349,59.441371,
2320,24.861746,59.441465,
2297,24.812241,59.443441,
231E,24.819663,59.43929,
22EB,24.818401,59.439039,
2339,24.816826,59.438038,
238A,24.811225,59.436513,
229F,24.808206,59.435623,
237F,24.808285,59.436221,
2335,24.806156,59.435672,
22F9,24.803906,59.435185,
22AA,24.798492,59.434756,
23A5,24.797665,59.435344,
2305,24.796388,59.434873,
