,SO2,NO2,CO,O3,PM10,PM2.5,CO_model,NO2_model,SO2_model,O3_model,PM2.5_model,PM10_model
2021-10-13 12:00:00,0.9,31.1,260.0,26.4,14.4,6.0,307.9999694824219,6.515624523162843,4.781249523162842,27.93749809265137,8.906249046325684,10.624999046325684
2021-10-13 13:00:00,0.9,19.8,210.0,41.9,11.9,8.0,323.9999694824219,11.499999046325685,5.609374523162842,22.187498092651367,9.062499046325684,11.124999046325684
2021-10-13 14:00:00,1.1,35.0,250.0,28.0,11.9,8.0,353.9999694824219,17.187498092651367,6.031249523162843,13.437499046325685,11.218749046325684,14.374999046325685
2021-10-13 15:00:00,1.4,31.5,250.0,28.5,11.4,6.5,347.9999694824219,14.749999046325685,6.031249523162843,5.281249523162842,13.843749046325685,18.124998092651367
2021-10-13 16:00:00,1.4,32.7,290.0,28.1,10.9,5.0,347.9999694824219,12.531249046325685,6.984374523162843,1.1992186307907104,19.687498092651367,25.49999809265137
2021-10-13 17:00:00,0.8,27.0,290.0,32.6,10.9,5.0,380.9999694824219,12.187499046325685,7.999999523162843,0.4082030951976776,28.81249809265137,36.624996185302734
2021-10-13 18:00:00,0.9,29.4,310.0,25.6,13.4,4.5,397.9999694824219,11.499999046325685,7.218749523162843,0.9277343153953552,31.81249809265137,40.374996185302734
2021-10-13 19:00:00,0.6,38.0,260.0,18.0,15.9,4.0,423.9999694824219,12.343749046325685,6.031249523162843,2.734374761581421,26.62499809265137,34.87499618530273
2021-10-13 20:00:00,0.8,49.1,410.0,7.5,15.9,4.0,440.9999694824219,13.718749046325685,5.078124523162842,6.265624523162843,17.312498092651367,23.68749809265137
2021-10-13 21:00:00,1.2,49.2,570.0,5.1,20.8,6.5,393.9999694824219,13.374999046325685,4.187499523162842,11.624999046325685,8.343749046325684,11.937499046325685
2021-10-13 22:00:00,1.0,43.0,500.0,7.5,25.8,9.0,350.9999694824219,11.656249046325685,3.789062261581421,17.187498092651367,4.437499523162842,6.390624523162843
2021-10-13 23:00:00,0.9,37.9,420.0,9.0,25.8,9.0,330.9999694824219,10.124999046325684,3.789062261581421,19.312498092651367,3.968749761581421,5.640624523162843
2021-10-14 00:00:00,0.7,29.5,360.0,11.3,24.3,8.5,320.9999694824219,10.468749046325684,3.757812261581421,19.499998092651367,4.187499523162842,5.937499523162843
2021-10-14 01:00:00,0.5,23.7,300.0,15.8,22.8,8.0,320.9999694824219,10.718749046325684,3.5781247615814213,19.874998092651367,4.265624523162842,6.140624523162843
2021-10-14 02:00:00,0.4,15.4,240.0,20.1,22.8,8.0,330.9999694824219,10.218749046325684,3.4921872615814213,20.062498092651367,4.374999523162842,6.390624523162843
2021-10-14 03:00:00,0.5,12.9,190.0,26.7,14.4,6.0,350.9999694824219,10.218749046325684,3.5468747615814213,19.312498092651367,5.234374523162842,7.718749523162843
2021-10-14 04:00:00,0.3,8.1,180.0,30.0,6.0,4.0,420.9999694824219,14.406249046325685,4.187499523162842,16.812498092651367,9.156249046325684,13.374999046325685
2021-10-14 05:00:00,0.7,11.8,180.0,25.6,6.0,4.0,494.9999694824219,20.437498092651367,4.421874523162842,14.312499046325685,12.031249046325685,17.749998092651367
2021-10-14 06:00:00,0.4,11.4,170.0,24.0,5.0,2.5,494.9999694824219,21.437498092651367,4.187499523162842,18.249998092651367,10.156249046325684,15.781249046325685
2021-10-14 07:00:00,0.5,19.8,190.0,20.1,4.0,1.0,453.9999694824219,15.624999046325685,3.671874761581421,29.37499809265137,6.249999523162843,10.999999046325684
2021-10-14 08:00:00,1.9,46.6,250.0,4.3,4.0,1.0,403.9999694824219,10.562499046325684,3.2812497615814213,37.624996185302734,4.078124523162842,8.281249046325684
2021-10-14 09:00:00,2.5,53.1,260.0,4.0,4.5,0.0,350.9999694824219,7.374999523162843,2.8671872615814213,47.99999618530274,2.421874761581421,5.406249523162842
2021-10-14 10:00:00,1.1,31.5,210.0,9.8,5.0,-1.0,290.9999694824219,2.617187261581421,1.5078123807907104,75.99999237060547,0.7109374403953552,1.5937498807907104
2021-10-14 11:00:00,1.3,30.2,210.0,15.0,5.0,-1.0,283.9999694824219,2.124999761581421,1.4023436307907104,80.24999237060547,0.5605468153953552,1.1835936307907104
2021-10-14 12:00:00,0.8,23.9,210.0,26.4,11.4,0.5,280.99996948242193,1.9531248807907104,1.2382811307907104,83.74999237060547,0.5019530653953552,1.0351561307907104
2021-10-14 13:00:00,0.6,19.3,220.0,36.7,17.9,2.0,280.99996948242193,2.249999761581421,1.1484373807907104,86.74999237060547,0.5019530653953552,0.9746093153953552
2021-10-14 14:00:00,0.9,18.5,180.0,45.4,17.9,2.0,280.99996948242193,2.9140622615814213,1.1210936307907104,86.74999237060547,0.5019530653953552,1.0585936307907104
2021-10-14 15:00:00,0.8,21.5,180.0,46.9,15.4,2.0,280.99996948242193,3.3046872615814213,1.0898436307907104,85.99999237060547,0.5624999403953552,1.2578123807907104
2021-10-14 16:00:00,0.6,26.4,190.0,41.2,12.9,2.0,287.9999694824219,3.2578122615814213,1.1953123807907104,82.99999237060547,0.7167968153953552,1.4609373807907104
2021-10-14 17:00:00,0.7,29.6,220.0,36.3,12.9,2.0,287.9999694824219,2.679687261581421,1.2851561307907104,80.24999237060547,0.8222655653953552,1.5390623807907104
2021-10-14 18:00:00,0.6,24.5,190.0,40.2,12.9,1.0,287.9999694824219,2.101562261581421,1.2070311307907104,78.74999237060547,0.7890624403953552,1.4101561307907104
2021-10-14 19:00:00,0.6,20.0,190.0,40.3,12.9,0.0,283.9999694824219,1.9101561307907104,1.2539061307907104,75.24999237060547,0.8847655653953552,1.4023436307907104
2021-10-14 20:00:00,0.6,13.0,190.0,43.1,12.9,0.0,280.99996948242193,1.9726561307907104,1.3710936307907104,69.49999237060547,1.0234373807907104,1.4531248807907104
2021-10-14 21:00:00,0.4,6.3,160.0,55.0,9.9,0.0,273.99996948242193,1.8671873807907104,1.2539061307907104,68.74999237060547,1.0664061307907104,1.3398436307907104
2021-10-14 22:00:00,0.4,5.1,160.0,59.2,6.9,0.0,273.99996948242193,1.8867186307907104,1.1953123807907104,65.24999237060547,1.3554686307907104,1.6171873807907104
2021-10-14 23:00:00,0.5,2.6,160.0,59.6,6.9,0.0,273.99996948242193,2.015624761581421,1.2382811307907104,59.37499618530274,1.7226561307907104,2.039062261581421
2021-10-15 00:00:00,0.4,1.5,150.0,60.0,4.5,0.0,273.99996948242193,2.148437261581421,1.2382811307907104,55.87499618530274,1.9414061307907104,2.304687261581421
2021-10-15 01:00:00,0.5,1.9,150.0,58.9,2.0,0.0,273.99996948242193,2.210937261581421,1.2382811307907104,52.99999618530274,2.062499761581421,2.453124761581421
2021-10-15 02:00:00,0.5,1.5,150.0,56.1,2.0,0.0,273.99996948242193,2.273437261581421,1.2070311307907104,52.24999618530274,2.109374761581421,2.492187261581421
2021-10-15 03:00:00,0.4,1.6,150.0,55.2,1.0,0.0,277.99996948242193,2.406249761581421,1.1640623807907104,53.74999618530274,1.8710936307907104,2.249999761581421
2021-10-15 04:00:00,0.6,1.1,150.0,56.1,0.0,0.0,280.99996948242193,2.9999997615814213,1.2070311307907104,53.74999618530274,1.7343748807907104,2.265624761581421
2021-10-15 05:00:00,0.4,1.3,150.0,51.1,0.0,0.0,283.9999694824219,3.773437261581421,1.2539061307907104,50.12499618530274,1.7929686307907104,2.460937261581421
2021-10-15 06:00:00,0.5,1.5,160.0,49.5,1.0,0.0,273.99996948242193,3.906249761581421,1.2851561307907104,47.99999618530274,1.8281248807907104,2.554687261581421
2021-10-15 07:00:00,0.4,4.1,160.0,44.7,2.0,0.0,273.99996948242193,4.203124523162842,1.2539061307907104,52.24999618530274,1.7187498807907104,2.414062261581421
