time,NO2,NO2_model
2022-01-27 01:00:00,22.4,7.109375
2022-01-27 02:00:00,32.09,6.25
2022-01-27 03:00:00,18.49,5.640625
2022-01-27 04:00:00,25.39,5.34375
2022-01-27 05:00:00,25.28,6.15625
2022-01-27 06:00:00,14.85,7.796875
2022-01-27 07:00:00,16.44,9.15625
2022-01-27 08:00:00,19.6,8.90625
2022-01-27 09:00:00,22.9,7.015625
2022-01-27 10:00:00,20.26,5.4375
2022-01-27 11:00:00,27.4,4.3125
2022-01-27 12:00:00,32.74,3.25
2022-01-27 13:00:00,34.05,2.3984375
2022-01-27 14:00:00,28.1,2.0703125
2022-01-27 15:00:00,28.58,1.7539062
2022-01-27 16:00:00,31.91,1.390625
2022-01-27 17:00:00,23.89,1.2421875
2022-01-27 18:00:00,30.26,1.2304688
2022-01-27 19:00:00,40.11,1.1757812
2022-01-27 20:00:00,40.11,1.1210938
2022-01-27 21:00:00,45.84,1.0585938
2022-01-27 22:00:00,37.41,0.8886719
2022-01-27 23:00:00,52.62,0.73828125
2022-01-28 00:00:00,49.92,0.7265625
2022-01-28 01:00:00,45.78,0.6035156
2022-01-28 02:00:00,43.91,0.56640625
2022-01-28 03:00:00,29.79,0.5292969
2022-01-28 04:00:00,12.45,0.5019531
2022-01-28 05:00:00,24.51,0.5234375
2022-01-28 06:00:00,20.62,0.7167969
2022-01-28 07:00:00,18.04,0.9316406
2022-01-28 08:00:00,17.63,0.9941406
2022-01-28 09:00:00,18.38,0.953125
2022-01-28 10:00:00,19.04,0.9199219
2022-01-28 11:00:00,26.07,0.9199219
2022-01-28 12:00:00,49.87,0.984375
2022-01-28 13:00:00,46.14,1.2734375
2022-01-28 14:00:00,51.15,1.9257812
2022-01-28 15:00:00,35.91,2.9921875
2022-01-28 16:00:00,60.26,4.28125
2022-01-28 17:00:00,29.03,5.265625
2022-01-28 18:00:00,18.76,5.984375
2022-01-28 19:00:00,13.96,6.671875
2022-01-28 20:00:00,23.04,5.90625
2022-01-28 21:00:00,17.27,5.90625
2022-01-28 22:00:00,15.5,7.453125
2022-01-28 23:00:00,20.59,10.59375
2022-01-29 00:00:00,15.03,12.5
2022-01-29 01:00:00,12.7,12.65625
2022-01-29 02:00:00,13.53,14.375
2022-01-29 03:00:00,15.14,12.84375
2022-01-29 04:00:00,19.72,9.59375
2022-01-29 05:00:00,18.01,7.453125
2022-01-29 06:00:00,20.93,6.671875
2022-01-29 07:00:00,18.57,6.671875
2022-01-29 08:00:00,8.97,6.84375
2022-01-29 09:00:00,22.57,7.015625
2022-01-29 10:00:00,12.89,6.671875
2022-01-29 11:00:00,10.77,5.734375
2022-01-29 12:00:00,11.38,4.828125
2022-01-29 13:00:00,16.78,4.234375
2022-01-29 14:00:00,4.11,3.8515625
2022-01-29 15:00:00,2.66,3.9765625
2022-01-29 16:00:00,3.55,3.296875
2022-01-29 17:00:00,2.73,2.0546875
2022-01-29 18:00:00,7.73,1.6914062
2022-01-29 19:00:00,3.97,1.4101562
2022-01-29 20:00:00,14.6,1.2421875
2022-01-29 21:00:00,8.04,1.0585938
2022-01-29 22:00:00,3.95,0.9199219
2022-01-29 23:00:00,6.46,0.7910156
2022-01-30 00:00:00,8.33,0.7050781
2022-01-30 01:00:00,8.8,0.6738281
2022-01-30 02:00:00,16.31,0.6425781
2022-01-30 03:00:00,23.17,0.578125
2022-01-30 04:00:00,21.29,0.4970703
2022-01-30 05:00:00,24.29,0.4814453
2022-01-30 06:00:00,24.4,0.56640625
2022-01-30 07:00:00,26.77,0.6621094
2022-01-30 08:00:00,24.4,0.6738281
2022-01-30 09:00:00,17.79,0.5292969
2022-01-30 10:00:00,24.72,0.4765625
2022-01-30 11:00:00,23.9,0.45996094
2022-01-30 12:00:00,18.57,0.4658203
2022-01-30 13:00:00,29.36,0.5234375
2022-01-30 14:00:00,32.16,0.6621094
2022-01-30 15:00:00,38.31,0.8457031
2022-01-30 16:00:00,48.55,1.046875
2022-01-30 17:00:00,47.14,1.25
2022-01-30 18:00:00,13.86,1.4765625
2022-01-30 19:00:00,12.94,1.8398438
2022-01-30 20:00:00,19.93,2.4375
2022-01-30 21:00:00,18.58,3.078125
2022-01-30 22:00:00,16.29,3.8984375
2022-01-30 23:00:00,5.86,3.5546875
2022-01-31 00:00:00,12.93,2.90625
2022-01-31 01:00:00,7.91,4.140625
2022-01-31 02:00:00,9.99,6.5
2022-01-31 03:00:00,8.88,10.0
2022-01-31 04:00:00,8.98,11.625
2022-01-31 05:00:00,9.12,12.3125
2022-01-31 06:00:00,13.72,11.28125
2022-01-31 07:00:00,20.33,8.125
2022-01-31 08:00:00,25.69,7.28125
2022-01-31 09:00:00,26.04,7.453125
2022-01-31 10:00:00,19.46,6.9375
2022-01-31 11:00:00,17.52,5.046875
2022-01-31 12:00:00,15.45,5.640625
2022-01-31 13:00:00,12.08,14.375
2022-01-31 14:00:00,10.04,20.375
2022-01-31 15:00:00,15.98,20.6875
2022-01-31 16:00:00,13.54,16.9375
2022-01-31 17:00:00,11.15,11.46875
2022-01-31 18:00:00,39.29,6.9375
2022-01-31 19:00:00,47.0,5.90625
2022-01-31 20:00:00,68.22,3.46875
2022-01-31 21:00:00,64.99,1.8203125
2022-01-31 22:00:00,36.35,1.3671875
2022-01-31 23:00:00,20.24,0.7910156
2022-02-01 00:00:00,47.46,0.6582031
2022-02-01 01:00:00,61.54,0.7265625
2022-02-01 02:00:00,61.75,0.7480469
2022-02-01 03:00:00,41.23,0.8769531
2022-02-01 04:00:00,14.45,1.0898438
2022-02-01 05:00:00,4.39,1.6679688
2022-02-01 06:00:00,4.88,2.78125
2022-02-01 07:00:00,7.71,3.9375
2022-02-01 08:00:00,13.94,5.140625
2022-02-01 09:00:00,11.7,6.421875
2022-02-01 10:00:00,9.49,7.1875
2022-02-01 11:00:00,12.57,8.375
2022-02-01 12:00:00,12.11,8.5625
2022-02-01 13:00:00,8.9,6.421875
2022-02-01 14:00:00,29.34,4.109375
