time,NO2,NO2_model
2022-01-27 01:00:00,43.9,73.25
2022-01-27 02:00:00,42.7,69.75
2022-01-27 03:00:00,40.4,66.25
2022-01-27 04:00:00,38.1,63.0
2022-01-27 05:00:00,36.2,60.25
2022-01-27 06:00:00,38.5,56.875
2022-01-27 07:00:00,39.0,53.375
2022-01-27 08:00:00,36.0,50.625
2022-01-27 09:00:00,33.3,45.875
2022-01-27 10:00:00,33.6,38.625
2022-01-27 11:00:00,36.3,33.5
2022-01-27 12:00:00,39.1,31.1875
2022-01-27 13:00:00,39.2,30.8125
2022-01-27 14:00:00,37.7,32.5
2022-01-27 15:00:00,38.7,36.25
2022-01-27 16:00:00,44.4,43.125
2022-01-27 17:00:00,49.8,46.5
2022-01-27 18:00:00,50.2,46.5
2022-01-27 19:00:00,47.6,48.625
2022-01-27 20:00:00,46.9,51.375
2022-01-27 21:00:00,46.9,53.375
2022-01-27 22:00:00,46.1,55.5
2022-01-27 23:00:00,46.0,58.25
2022-01-28 00:00:00,42.8,60.25
2022-01-28 01:00:00,41.1,50.0
2022-01-28 02:00:00,40.9,52.75
2022-01-28 03:00:00,41.7,56.125
2022-01-28 04:00:00,41.6,58.875
2022-01-28 05:00:00,40.4,59.625
2022-01-28 06:00:00,38.7,58.875
2022-01-28 07:00:00,39.3,53.375
2022-01-28 08:00:00,37.3,43.5
2022-01-28 09:00:00,36.7,29.8125
2022-01-28 10:00:00,36.1,17.8125
2022-01-28 11:00:00,34.9,11.8125
2022-01-28 12:00:00,38.1,8.125
2022-01-28 13:00:00,23.9,7.1875
2022-01-28 14:00:00,12.0,8.375
2022-01-28 15:00:00,13.5,10.1875
2022-01-28 16:00:00,14.9,15.90625
2022-01-28 17:00:00,25.0,24.625
2022-01-28 18:00:00,51.8,32.5
2022-01-28 19:00:00,55.9,39.375
2022-01-28 20:00:00,63.0,44.5
2022-01-28 21:00:00,61.2,48.625
2022-01-28 22:00:00,55.5,49.25
2022-01-28 23:00:00,53.2,47.25
2022-01-29 00:00:00,48.6,46.5
2022-01-29 01:00:00,44.6,43.5
2022-01-29 02:00:00,46.9,45.125
2022-01-29 03:00:00,40.4,46.5
2022-01-29 04:00:00,38.2,47.25
2022-01-29 05:00:00,37.4,47.875
2022-01-29 06:00:00,39.2,49.25
2022-01-29 07:00:00,35.5,51.375
2022-01-29 08:00:00,34.8,51.375
2022-01-29 09:00:00,35.4,45.875
2022-01-29 10:00:00,28.1,36.625
2022-01-29 11:00:00,24.8,30.8125
2022-01-29 12:00:00,19.9,28.0625
2022-01-29 13:00:00,16.9,29.8125
2022-01-29 14:00:00,17.0,34.25
2022-01-29 15:00:00,16.7,41.125
2022-01-29 16:00:00,20.7,50.625
2022-01-29 17:00:00,29.3,56.875
2022-01-29 18:00:00,37.5,61.625
2022-01-29 19:00:00,39.9,64.25
2022-01-29 20:00:00,41.6,64.25
2022-01-29 21:00:00,40.8,64.25
2022-01-29 22:00:00,41.2,62.375
2022-01-29 23:00:00,37.8,58.25
2022-01-30 00:00:00,36.1,53.375
2022-01-30 01:00:00,34.5,60.25
2022-01-30 02:00:00,32.4,60.25
2022-01-30 03:00:00,30.6,60.25
2022-01-30 04:00:00,32.3,61.0
2022-01-30 05:00:00,32.1,61.625
2022-01-30 06:00:00,31.4,62.375
2022-01-30 07:00:00,30.7,62.375
2022-01-30 08:00:00,31.4,63.0
2022-01-30 09:00:00,33.8,62.375
2022-01-30 10:00:00,34.4,55.5
2022-01-30 11:00:00,27.8,42.375
2022-01-30 12:00:00,21.1,26.6875
2022-01-30 13:00:00,19.9,6.84375
2022-01-30 14:00:00,14.8,5.296875
2022-01-30 15:00:00,6.7,6.421875
2022-01-30 16:00:00,4.2,13.34375
2022-01-30 17:00:00,8.4,26.375
2022-01-30 18:00:00,13.9,37.0
2022-01-30 19:00:00,38.2,43.75
2022-01-30 20:00:00,41.0,45.875
2022-01-30 21:00:00,48.0,45.875
2022-01-30 22:00:00,49.8,45.875
2022-01-30 23:00:00,39.3,45.125
2022-01-31 00:00:00,26.9,45.125
2022-01-31 01:00:00,28.2,45.125
2022-01-31 02:00:00,26.5,43.75
2022-01-31 03:00:00,30.7,40.75
2022-01-31 04:00:00,24.0,33.125
2022-01-31 05:00:00,20.8,27.75
2022-01-31 06:00:00,24.4,27.375
2022-01-31 07:00:00,37.8,17.625
2022-01-31 08:00:00,24.1,15.59375
2022-01-31 09:00:00,17.5,13.34375
2022-01-31 10:00:00,12.0,9.25
2022-01-31 11:00:00,17.2,8.03125
2022-01-31 12:00:00,14.0,7.625
2022-01-31 13:00:00,6.9,7.359375
2022-01-31 14:00:00,9.4,7.28125
2022-01-31 15:00:00,13.3,7.015625
2022-01-31 16:00:00,14.2,6.59375
2022-01-31 17:00:00,18.0,8.46875
2022-01-31 18:00:00,20.4,10.28125
2022-01-31 19:00:00,18.9,11.96875
2022-01-31 20:00:00,14.6,13.6875
2022-01-31 21:00:00,14.1,14.375
2022-01-31 22:00:00,21.9,20.6875
2022-01-31 23:00:00,26.7,26.6875
2022-02-01 00:00:00,23.0,29.8125
2022-02-01 01:00:00,17.4,11.125
2022-02-01 02:00:00,12.3,5.8125
2022-02-01 03:00:00,9.3,5.296875
2022-02-01 04:00:00,9.2,9.15625
2022-02-01 05:00:00,28.4,17.4375
2022-02-01 06:00:00,34.5,35.875
2022-02-01 07:00:00,45.9,50.625
2022-02-01 08:00:00,53.7,54.125
2022-02-01 09:00:00,19.9,52.0
2022-02-01 10:00:00,10.9,45.125
2022-02-01 11:00:00,6.0,33.875
2022-02-01 12:00:00,4.5,21.5625
2022-02-01 13:00:00,7.4,10.6875
2022-02-01 14:00:00,9.3,10.6875
2022-02-01 15:00:00,17.9,11.8125
2022-02-01 16:00:00,32.3,15.40625
2022-02-01 17:00:00,33.0,20.6875
2022-02-01 18:00:00,21.8,23.25
2022-02-01 19:00:00,22.2,23.625
2022-02-01 20:00:00,17.6,24.625
2022-02-01 21:00:00,14.5,25.6875
2022-02-01 22:00:00,11.8,23.9375
2022-02-01 23:00:00,12.8,18.625
2022-02-02 00:00:00,10.8,14.90625
2022-02-02 01:00:00,8.7,10.875
2022-02-02 02:00:00,8.2,9.25
2022-02-02 03:00:00,7.6,7.703125
2022-02-02 04:00:00,7.0,6.671875
2022-02-02 05:00:00,8.2,7.1875
2022-02-02 06:00:00,12.8,10.4375
2022-02-02 07:00:00,21.9,16.25
2022-02-02 08:00:00,20.5,22.9375
2022-02-02 09:00:00,19.7,28.0625
2022-02-02 10:00:00,16.5,28.4375
2022-02-02 11:00:00,19.9,25.6875
2022-02-02 12:00:00,14.0,22.25
2022-02-02 13:00:00,11.2,29.125
2022-02-02 14:00:00,13.8,38.0
2022-02-02 15:00:00,15.7,42.375
2022-02-02 16:00:00,21.1,46.5
2022-02-02 17:00:00,32.1,47.875
2022-02-02 18:00:00,38.6,48.625
2022-02-02 19:00:00,38.0,48.625
2022-02-02 20:00:00,36.4,47.875
2022-02-02 21:00:00,31.1,47.875
2022-02-02 22:00:00,27.9,47.875
2022-02-02 23:00:00,26.4,47.875
2022-02-03 00:00:00,28.9,47.875
2022-02-03 01:00:00,26.4,39.0
2022-02-03 02:00:00,26.2,38.0
2022-02-03 03:00:00,22.8,37.0
2022-02-03 04:00:00,22.8,36.625
2022-02-03 05:00:00,24.2,37.625
2022-02-03 06:00:00,26.0,40.0
2022-02-03 07:00:00,28.3,41.375
2022-02-03 08:00:00,28.1,43.75
2022-02-03 09:00:00,27.1,46.5
2022-02-03 10:00:00,22.2,47.25
2022-02-03 11:00:00,27.3,47.25
2022-02-03 12:00:00,29.3,47.875
2022-02-03 13:00:00,30.4,54.125
2022-02-03 14:00:00,32.8,61.0
2022-02-03 15:00:00,35.6,59.625
2022-02-03 16:00:00,37.1,52.0
2022-02-03 17:00:00,38.9,45.875
2022-02-03 18:00:00,37.8,42.75
2022-02-03 19:00:00,37.0,40.75
2022-02-03 20:00:00,38.5,39.375
2022-02-03 21:00:00,33.7,39.375
2022-02-03 22:00:00,33.5,40.375
2022-02-03 23:00:00,35.0,40.375
2022-02-04 00:00:00,31.8,39.375
2022-02-04 01:00:00,29.7,35.875
2022-02-04 02:00:00,27.9,31.5
2022-02-04 03:00:00,17.0,30.8125
2022-02-04 04:00:00,12.5,31.5
2022-02-04 05:00:00,22.9,32.5
2022-02-04 06:00:00,28.4,35.875
2022-02-04 07:00:00,33.7,40.0
2022-02-04 08:00:00,35.1,42.75
2022-02-04 09:00:00,33.1,42.125
2022-02-04 10:00:00,27.5,39.0
2022-02-04 11:00:00,10.9,30.8125
2022-02-04 12:00:00,9.0,22.25
2022-02-04 13:00:00,4.8,7.875
2022-02-04 14:00:00,4.0,5.390625
2022-02-04 15:00:00,4.0,4.65625
2022-02-04 16:00:00,7.0,8.21875
2022-02-04 17:00:00,22.5,13.1875
2022-02-04 18:00:00,18.7,17.125
2022-02-04 19:00:00,23.4,24.625
2022-02-04 20:00:00,21.1,33.875
2022-02-04 21:00:00,27.0,40.75
2022-02-04 22:00:00,22.2,42.75
2022-02-04 23:00:00,21.8,38.375
2022-02-05 00:00:00,16.2,31.8125
2022-02-05 01:00:00,19.0,33.875
2022-02-05 02:00:00,18.3,29.8125
2022-02-05 03:00:00,13.5,27.375
2022-02-05 04:00:00,13.0,26.6875
2022-02-05 05:00:00,18.0,28.0625
2022-02-05 06:00:00,20.8,32.125
2022-02-05 07:00:00,22.3,23.25
2022-02-05 08:00:00,30.0,22.25
2022-02-05 09:00:00,23.2,17.9375
2022-02-05 10:00:00,11.1,9.0625
2022-02-05 11:00:00,3.0,5.734375
2022-02-05 12:00:00,1.6,4.578125
2022-02-05 13:00:00,1.1,4.28125
2022-02-05 14:00:00,0.5,4.0625
2022-02-05 15:00:00,1.1,4.015625
2022-02-05 16:00:00,2.2,6.59375
2022-02-05 17:00:00,7.4,11.96875
2022-02-05 18:00:00,35.0,16.25
2022-02-05 19:00:00,52.7,29.4375
2022-02-05 20:00:00,52.5,44.5
2022-02-05 21:00:00,40.4,51.375
2022-02-05 22:00:00,39.2,53.375
2022-02-05 23:00:00,42.5,52.75
2022-02-06 00:00:00,32.0,51.375
2022-02-06 01:00:00,41.8,47.875
2022-02-06 02:00:00,22.0,43.5
2022-02-06 03:00:00,23.9,39.75
2022-02-06 04:00:00,17.5,37.25
2022-02-06 05:00:00,15.7,35.875
2022-02-06 06:00:00,16.4,40.75
2022-02-06 07:00:00,17.2,45.875
2022-02-06 08:00:00,16.9,46.5
2022-02-06 09:00:00,15.6,38.0
2022-02-06 10:00:00,15.2,9.0625
2022-02-06 11:00:00,4.2,5.140625
2022-02-06 12:00:00,3.7,3.9375
2022-02-06 13:00:00,3.0,2.8671875
2022-02-06 14:00:00,3.7,2.671875
