time,NO2,NO2_model
2022-01-27 01:00:00,49.6,23.999998
2022-01-27 02:00:00,45.9,23.312498
2022-01-27 03:00:00,43.1,22.999998
2022-01-27 04:00:00,44.3,22.312498
2022-01-27 05:00:00,44.3,23.687498
2022-01-27 06:00:00,41.6,31.562498
2022-01-27 07:00:00,47.4,40.124996
2022-01-27 08:00:00,56.2,43.249996
2022-01-27 09:00:00,46.6,35.999996
2022-01-27 10:00:00,46.0,20.749998
2022-01-27 11:00:00,44.0,16.999998
2022-01-27 12:00:00,36.6,15.437499
2022-01-27 13:00:00,33.3,12.187499
2022-01-27 14:00:00,32.5,12.343749
2022-01-27 15:00:00,38.0,14.593749
2022-01-27 16:00:00,40.8,19.249998
2022-01-27 17:00:00,42.2,25.749998
2022-01-27 18:00:00,47.8,29.187498
2022-01-27 19:00:00,42.6,29.499998
2022-01-27 20:00:00,37.2,24.374998
2022-01-27 21:00:00,33.1,19.374998
2022-01-27 22:00:00,26.1,15.937499
2022-01-27 23:00:00,24.3,12.531249
2022-01-28 00:00:00,16.9,9.874999
2022-01-28 01:00:00,17.1,10.218749
2022-01-28 02:00:00,21.3,8.249999
2022-01-28 03:00:00,19.9,7.1249995
2022-01-28 04:00:00,17.9,6.4374995
2022-01-28 05:00:00,17.2,6.3437495
2022-01-28 06:00:00,28.4,8.156249
2022-01-28 07:00:00,37.2,10.124999
2022-01-28 08:00:00,40.9,11.499999
2022-01-28 09:00:00,34.5,11.312499
2022-01-28 10:00:00,35.4,10.562499
2022-01-28 11:00:00,32.0,9.281249
2022-01-28 12:00:00,30.0,8.156249
2022-01-28 13:00:00,23.2,5.9999995
2022-01-28 14:00:00,19.2,5.0624995
2022-01-28 15:00:00,25.5,4.7187495
2022-01-28 16:00:00,30.6,6.5156245
2022-01-28 17:00:00,31.6,10.124999
2022-01-28 18:00:00,26.7,13.031249
2022-01-28 19:00:00,25.8,15.781249
2022-01-28 20:00:00,22.6,17.499998
2022-01-28 21:00:00,21.2,18.687498
2022-01-28 22:00:00,18.3,18.874998
2022-01-28 23:00:00,13.3,16.812498
2022-01-29 00:00:00,13.4,13.374999
2022-01-29 01:00:00,15.7,11.999999
2022-01-29 02:00:00,15.8,10.968749
2022-01-29 03:00:00,20.7,10.468749
2022-01-29 04:00:00,21.5,10.468749
2022-01-29 05:00:00,25.0,11.656249
2022-01-29 06:00:00,30.4,18.187498
2022-01-29 07:00:00,44.3,27.812498
2022-01-29 08:00:00,40.8,32.624996
2022-01-29 09:00:00,29.5,26.062498
2022-01-29 10:00:00,22.5,12.531249
2022-01-29 11:00:00,19.9,9.281249
2022-01-29 12:00:00,16.6,6.6093745
2022-01-29 13:00:00,15.3,4.3281245
2022-01-29 14:00:00,16.9,4.6718745
2022-01-29 15:00:00,18.1,5.5781245
2022-01-29 16:00:00,23.1,6.6874995
2022-01-29 17:00:00,29.1,7.8906245
2022-01-29 18:00:00,36.4,8.749999
2022-01-29 19:00:00,31.6,8.999999
2022-01-29 20:00:00,29.7,8.249999
2022-01-29 21:00:00,21.1,7.8906245
2022-01-29 22:00:00,22.6,7.4687495
2022-01-29 23:00:00,22.7,6.4374995
2022-01-30 00:00:00,15.8,5.3124995
2022-01-30 01:00:00,13.2,4.4218745
2022-01-30 02:00:00,14.7,4.5468745
2022-01-30 03:00:00,11.8,4.5468745
2022-01-30 04:00:00,11.6,4.3749995
2022-01-30 05:00:00,14.8,4.2499995
2022-01-30 06:00:00,18.2,5.2812495
2022-01-30 07:00:00,13.8,5.8281245
2022-01-30 08:00:00,16.1,6.5156245
2022-01-30 09:00:00,18.7,6.6874995
2022-01-30 10:00:00,19.5,6.2656245
2022-01-30 11:00:00,20.6,5.4531245
2022-01-30 12:00:00,15.8,4.8124995
2022-01-30 13:00:00,11.4,4.2499995
2022-01-30 14:00:00,10.1,3.8593748
2022-01-30 15:00:00,11.2,3.7343748
2022-01-30 16:00:00,13.5,3.9062498
2022-01-30 17:00:00,18.0,4.9843745
2022-01-30 18:00:00,34.0,5.9218745
2022-01-30 19:00:00,50.7,6.6093745
2022-01-30 20:00:00,58.3,6.7812495
2022-01-30 21:00:00,52.9,7.2968745
2022-01-30 22:00:00,41.7,7.4687495
2022-01-30 23:00:00,40.4,6.5156245
2022-01-31 00:00:00,30.5,5.7499995
2022-01-31 01:00:00,22.2,4.1562495
2022-01-31 02:00:00,21.9,3.3906248
2022-01-31 03:00:00,20.5,2.7421873
2022-01-31 04:00:00,18.1,2.6406248
2022-01-31 05:00:00,14.3,3.2187498
2022-01-31 06:00:00,27.6,5.4531245
2022-01-31 07:00:00,55.5,7.8906245
2022-01-31 08:00:00,67.1,8.312499
2022-01-31 09:00:00,66.2,7.2968745
2022-01-31 10:00:00,45.4,5.6562495
2022-01-31 11:00:00,32.9,5.1093745
2022-01-31 12:00:00,21.8,4.2499995
2022-01-31 13:00:00,13.2,3.0859373
2022-01-31 14:00:00,10.1,2.7890623
2022-01-31 15:00:00,11.1,2.7890623
2022-01-31 16:00:00,15.2,2.8281248
2022-01-31 17:00:00,17.5,2.9609373
2022-01-31 18:00:00,30.7,3.0468748
2022-01-31 19:00:00,11.9,3.0468748
2022-01-31 20:00:00,9.7,2.9140623
2022-01-31 21:00:00,11.3,2.8281248
2022-01-31 22:00:00,10.0,2.7421873
2022-01-31 23:00:00,7.7,2.5546873
2022-02-01 00:00:00,6.3,2.5312498
2022-02-01 01:00:00,5.9,2.8281248
2022-02-01 02:00:00,6.0,2.9999998
2022-02-01 03:00:00,5.9,3.1328123
2022-02-01 04:00:00,5.8,3.1718748
2022-02-01 05:00:00,7.2,3.3437498
2022-02-01 06:00:00,12.7,4.2499995
2022-02-01 07:00:00,20.5,5.1562495
2022-02-01 08:00:00,30.1,5.5781245
2022-02-01 09:00:00,30.5,5.8281245
2022-02-01 10:00:00,19.1,5.1874995
2022-02-01 11:00:00,17.1,4.3281245
2022-02-01 12:00:00,16.6,3.6484373
2022-02-01 13:00:00,17.6,3.5624998
2022-02-01 14:00:00,17.7,4.2031245
2022-02-01 15:00:00,23.0,4.7656245
2022-02-01 16:00:00,37.6,6.5156245
2022-02-01 17:00:00,53.9,9.281249
2022-02-01 18:00:00,59.2,11.999999
2022-02-01 19:00:00,63.2,13.218749
2022-02-01 20:00:00,65.6,12.187499
2022-02-01 21:00:00,38.0,10.031249
2022-02-01 22:00:00,15.8,7.7187495
2022-02-01 23:00:00,9.2,6.2656245
2022-02-02 00:00:00,8.3,5.4062495
2022-02-02 01:00:00,8.9,4.1562495
2022-02-02 02:00:00,7.7,3.7734373
2022-02-02 03:00:00,10.6,3.6015623
2022-02-02 04:00:00,14.1,3.3906248
2022-02-02 05:00:00,13.9,3.3906248
2022-02-02 06:00:00,21.2,4.5468745
2022-02-02 07:00:00,34.5,5.8281245
2022-02-02 08:00:00,44.2,6.3437495
2022-02-02 09:00:00,45.7,6.0937495
2022-02-02 10:00:00,42.7,5.7499995
2022-02-02 11:00:00,37.8,5.7499995
2022-02-02 12:00:00,12.9,5.7499995
2022-02-02 13:00:00,13.0,5.5781245
2022-02-02 14:00:00,7.1,5.2812495
2022-02-02 15:00:00,7.7,5.3593745
2022-02-02 16:00:00,10.4,6.1718745
2022-02-02 17:00:00,22.1,7.9687495
2022-02-02 18:00:00,20.7,9.687499
2022-02-02 19:00:00,28.3,12.687499
2022-02-02 20:00:00,35.7,16.312498
2022-02-02 21:00:00,45.6,18.687498
2022-02-02 22:00:00,48.9,21.624998
2022-02-02 23:00:00,34.7,22.312498
2022-02-03 00:00:00,22.1,21.937498
2022-02-03 01:00:00,13.0,23.999998
2022-02-03 02:00:00,12.9,22.999998
2022-02-03 03:00:00,15.1,20.062498
2022-02-03 04:00:00,13.3,17.999998
2022-02-03 05:00:00,14.5,19.062498
2022-02-03 06:00:00,38.3,22.999998
2022-02-03 07:00:00,49.4,25.749998
2022-02-03 08:00:00,52.5,26.749998
2022-02-03 09:00:00,33.6,25.374998
2022-02-03 10:00:00,26.4,18.874998
2022-02-03 11:00:00,27.8,14.749999
2022-02-03 12:00:00,21.2,13.031249
2022-02-03 13:00:00,22.9,12.531249
2022-02-03 14:00:00,25.2,15.093749
2022-02-03 15:00:00,24.5,19.249998
2022-02-03 16:00:00,30.2,30.562498
2022-02-03 17:00:00,42.7,39.499996
2022-02-03 18:00:00,62.6,38.749996
2022-02-03 19:00:00,51.6,38.499996
2022-02-03 20:00:00,50.2,39.874996
2022-02-03 21:00:00,38.9,43.249996
2022-02-03 22:00:00,16.2,44.624996
2022-02-03 23:00:00,13.0,40.124996
2022-02-04 00:00:00,11.5,35.374996
2022-02-04 01:00:00,9.9,33.624996
2022-02-04 02:00:00,10.8,30.562498
2022-02-04 03:00:00,15.2,27.124998
2022-02-04 04:00:00,16.2,25.062498
2022-02-04 05:00:00,24.7,23.312498
2022-02-04 06:00:00,31.7,25.749998
2022-02-04 07:00:00,34.1,29.499998
2022-02-04 08:00:00,36.6,30.562498
2022-02-04 09:00:00,32.9,26.749998
2022-02-04 10:00:00,35.3,11.312499
2022-02-04 11:00:00,22.3,7.7187495
2022-02-04 12:00:00,52.6,6.1718745
2022-02-04 13:00:00,22.1,4.5937495
2022-02-04 14:00:00,26.0,4.9374995
2022-02-04 15:00:00,28.4,6.2656245
2022-02-04 16:00:00,34.9,7.8124995
2022-02-04 17:00:00,55.6,8.062499
2022-02-04 18:00:00,56.5,7.8906245
2022-02-04 19:00:00,56.2,8.749999
2022-02-04 20:00:00,48.2,10.812499
2022-02-04 21:00:00,49.0,12.531249
2022-02-04 22:00:00,48.7,12.531249
2022-02-04 23:00:00,51.3,10.218749
2022-02-05 00:00:00,48.4,7.9687495
2022-02-05 01:00:00,43.0,4.9843745
2022-02-05 02:00:00,26.7,5.0624995
2022-02-05 03:00:00,23.9,5.0156245
2022-02-05 04:00:00,11.5,4.5937495
2022-02-05 05:00:00,8.4,4.4687495
2022-02-05 06:00:00,11.2,4.7187495
2022-02-05 07:00:00,15.9,4.8437495
2022-02-05 08:00:00,17.8,4.9374995
2022-02-05 09:00:00,20.0,4.8124995
2022-02-05 10:00:00,13.4,4.2031245
2022-02-05 11:00:00,15.8,3.0859373
2022-02-05 12:00:00,12.7,2.2109373
2022-02-05 13:00:00,10.1,1.6718749
2022-02-05 14:00:00,10.6,1.5664061
2022-02-05 15:00:00,11.1,1.6289061
2022-02-05 16:00:00,13.9,2.8281248
2022-02-05 17:00:00,21.4,4.9843745
2022-02-05 18:00:00,36.6,6.6093745
2022-02-05 19:00:00,40.5,7.5468745
2022-02-05 20:00:00,31.8,7.7187495
2022-02-05 21:00:00,25.3,8.593749
2022-02-05 22:00:00,50.4,12.531249
2022-02-05 23:00:00,56.3,15.781249
2022-02-06 00:00:00,46.2,16.624998
2022-02-06 01:00:00,40.8,14.593749
2022-02-06 02:00:00,41.7,14.406249
