time,SO2,SO2_model
2022-01-27 01:00:00,11.48152,0.94726557
2022-01-27 02:00:00,11.20945,0.9023437
2022-01-27 03:00:00,10.76518,0.99999994
2022-01-27 04:00:00,11.04746,1.1328124
2022-01-27 05:00:00,10.77006,1.4023436
2022-01-27 06:00:00,10.89211,1.8789061
2022-01-27 07:00:00,11.38211,2.7187498
2022-01-27 08:00:00,11.98794,2.4765623
2022-01-27 09:00:00,12.70739,1.8632811
2022-01-27 10:00:00,50.3813,3.3984373
2022-01-27 11:00:00,15.0677,5.4374995
2022-01-27 12:00:00,17.07871,7.7499995
2022-01-27 13:00:00,14.8693,12.656249
2022-01-27 14:00:00,17.3389,30.062498
2022-01-27 15:00:00,20.00861,47.749996
2022-01-27 16:00:00,16.60247,41.999996
2022-01-27 17:00:00,19.22065,22.687498
2022-01-27 18:00:00,18.17853,8.124999
2022-01-27 19:00:00,17.57136,3.1640623
2022-01-27 20:00:00,18.40089,1.8632811
2022-01-27 21:00:00,21.89119,1.7148436
2022-01-27 22:00:00,20.40391,1.8359374
2022-01-27 23:00:00,21.23698,1.8515624
2022-01-28 00:00:00,21.62622,1.8515624
2022-01-28 01:00:00,16.20169,1.4765624
2022-01-28 02:00:00,14.92523,1.4765624
2022-01-28 03:00:00,15.55236,1.4609374
2022-01-28 04:00:00,15.14226,1.4921874
2022-01-28 05:00:00,15.50487,1.4609374
2022-01-28 06:00:00,15.56967,1.6249999
2022-01-28 07:00:00,16.46977,2.4453123
2022-01-28 08:00:00,18.70314,2.0624998
2022-01-28 09:00:00,25.78095,2.3281248
2022-01-28 10:00:00,28.22425,3.9999998
2022-01-28 11:00:00,28.42753,4.3593745
2022-01-28 12:00:00,25.07969,3.9999998
2022-01-28 13:00:00,21.36214,2.8671873
2022-01-28 14:00:00,18.36005,1.9374999
2022-01-28 15:00:00,17.06095,1.2851561
2022-01-28 16:00:00,15.1396,1.0898436
2022-01-28 17:00:00,13.71711,0.96874994
2022-01-28 18:00:00,12.75222,0.8808593
2022-01-28 19:00:00,11.98483,0.8652343
2022-01-28 20:00:00,14.05842,0.8867187
2022-01-28 21:00:00,14.53199,0.93164057
2022-01-28 22:00:00,12.92709,0.98437494
2022-01-28 23:00:00,12.47349,1.0312499
2022-01-29 00:00:00,12.1708,1.0742186
2022-01-29 01:00:00,12.19166,1.1796874
2022-01-29 02:00:00,11.68258,1.2968749
2022-01-29 03:00:00,11.77534,1.3710936
2022-01-29 04:00:00,10.56767,1.4609374
2022-01-29 05:00:00,10.40301,1.6093749
2022-01-29 06:00:00,11.24274,1.7890624
2022-01-29 07:00:00,9.88772,1.9101561
2022-01-29 08:00:00,9.95962,1.9101561
2022-01-29 09:00:00,10.79669,1.6992186
2022-01-29 10:00:00,11.19081,1.8515624
2022-01-29 11:00:00,11.13889,2.0312498
2022-01-29 12:00:00,10.81489,2.0312498
2022-01-29 13:00:00,10.37105,1.8515624
2022-01-29 14:00:00,10.97777,1.5351561
2022-01-29 15:00:00,10.91209,1.2382811
2022-01-29 16:00:00,9.6445,1.0585936
2022-01-29 17:00:00,10.81622,1.5976561
2022-01-29 18:00:00,10.50154,2.0624998
2022-01-29 19:00:00,11.39054,1.9374999
2022-01-29 20:00:00,12.02744,2.0312498
2022-01-29 21:00:00,13.24399,3.5468748
2022-01-29 22:00:00,22.58313,7.3437495
2022-01-29 23:00:00,35.1192,10.281249
2022-01-30 00:00:00,46.73432,11.593749
2022-01-30 01:00:00,51.49532,9.906249
2022-01-30 02:00:00,40.69375,8.468749
2022-01-30 03:00:00,27.02368,7.6406245
2022-01-30 04:00:00,25.04507,7.8749995
2022-01-30 05:00:00,30.13362,7.0937495
2022-01-30 06:00:00,27.34502,6.9218745
2022-01-30 07:00:00,19.97694,9.656249
2022-01-30 08:00:00,19.2273,10.281249
2022-01-30 09:00:00,18.82031,9.562499
2022-01-30 10:00:00,20.28585,8.593749
2022-01-30 11:00:00,67.12003,5.6093745
2022-01-30 12:00:00,21.5237,2.0937498
2022-01-30 13:00:00,22.06207,1.0156249
2022-01-30 14:00:00,20.82067,0.96874994
2022-01-30 15:00:00,18.886,0.9257812
2022-01-30 16:00:00,17.07294,0.8808593
