time,SO2,SO2_model
2022-02-01 01:00:00,9.31645,6.015625
2022-02-01 02:00:00,12.1116,6.1875
2022-02-01 03:00:00,8.30939,6.421875
2022-02-01 04:00:00,7.65886,5.890625
2022-02-01 05:00:00,8.45811,5.53125
2022-02-01 06:00:00,7.61118,6.96875
2022-02-01 07:00:00,12.4371,8.5625
2022-02-01 08:00:00,13.3835,10.25
2022-02-01 09:00:00,12.4472,12.15625
2022-02-01 10:00:00,15.3576,12.375
2022-02-01 11:00:00,9.95596,10.59375
2022-02-01 12:00:00,7.29393,9.40625
2022-02-01 13:00:00,7.61907,8.34375
2022-02-01 14:00:00,8.60051,6.78125
2022-02-01 15:00:00,9.34455,5.953125
2022-02-01 16:00:00,8.79398,5.0625
2022-02-01 17:00:00,9.54441,4.046875
2022-02-01 18:00:00,13.2073,3.3671875
2022-02-01 19:00:00,10.3966,4.8125
2022-02-01 20:00:00,7.94521,3.9296875
2022-02-01 21:00:00,8.44002,2.6484375
2022-02-01 22:00:00,7.10468,2.3515625
2022-02-01 23:00:00,7.23857,2.234375
2022-02-02 00:00:00,7.54474,2.2890625
2022-02-02 01:00:00,7.61116,3.8125
2022-02-02 02:00:00,7.73382,3.3671875
2022-02-02 03:00:00,7.8835,2.9765625
2022-02-02 04:00:00,7.9564,2.859375
2022-02-02 05:00:00,8.47478,2.9765625
2022-02-02 06:00:00,10.1746,3.3359375
2022-02-02 07:00:00,11.5462,3.8125
2022-02-02 08:00:00,11.0108,4.171875
2022-02-02 09:00:00,9.48926,4.109375
2022-02-02 10:00:00,10.9312,3.6015625
2022-02-02 11:00:00,19.5184,2.9140625
2022-02-02 12:00:00,16.7865,2.3515625
2022-02-02 13:00:00,14.0203,1.9335938
2022-02-02 14:00:00,6.99788,1.6679688
2022-02-02 15:00:00,14.4694,1.5625
2022-02-02 16:00:00,10.4997,1.7109375
2022-02-02 17:00:00,7.07386,1.9648438
2022-02-02 18:00:00,5.87463,2.0859375
2022-02-02 19:00:00,5.08786,2.109375
2022-02-02 20:00:00,5.39468,2.0859375
2022-02-02 21:00:00,4.81726,2.2578125
2022-02-02 22:00:00,4.26645,2.2890625
2022-02-02 23:00:00,3.64201,2.2578125
2022-02-03 00:00:00,3.27717,2.171875
2022-02-03 01:00:00,3.30312,1.6523438
2022-02-03 02:00:00,2.4902,1.8320312
2022-02-03 03:00:00,3.3156,2.109375
2022-02-03 04:00:00,5.96744,2.46875
2022-02-03 05:00:00,9.13108,3.125
2022-02-03 06:00:00,14.1065,4.578125
2022-02-03 07:00:00,17.6927,7.078125
2022-02-03 08:00:00,11.6502,8.34375
2022-02-03 09:00:00,12.5126,8.21875
2022-02-03 10:00:00,7.98277,5.890625
2022-02-03 11:00:00,9.20563,4.109375
2022-02-03 12:00:00,5.91144,3.2734375
2022-02-03 13:00:00,5.81506,3.125
2022-02-03 14:00:00,5.59786,3.484375
2022-02-03 15:00:00,6.8256,3.9921875
2022-02-03 16:00:00,8.35354,4.578125
2022-02-03 17:00:00,11.7292,5.0625
2022-02-03 18:00:00,8.03873,5.296875
2022-02-03 19:00:00,6.8177,4.875
2022-02-03 20:00:00,10.0343,4.21875
2022-02-03 21:00:00,9.89379,3.5703125
2022-02-03 22:00:00,7.89995,3.1875
2022-02-03 23:00:00,5.40446,2.828125
2022-02-04 00:00:00,4.65338,2.4375
2022-02-04 01:00:00,4.75379,2.140625
2022-02-04 02:00:00,6.09869,1.9335938
2022-02-04 03:00:00,8.70148,1.9648438
2022-02-04 04:00:00,13.3331,1.9335938
2022-02-04 05:00:00,19.8146,1.9960938
2022-02-04 06:00:00,19.0254,2.3828125
2022-02-04 07:00:00,11.6685,3.0078125
2022-02-04 08:00:00,9.60795,3.6015625
2022-02-04 09:00:00,9.0055,3.9921875
2022-02-04 10:00:00,7.57922,4.109375
2022-02-04 11:00:00,7.80875,4.046875
2022-02-04 12:00:00,8.35188,3.9921875
2022-02-04 13:00:00,8.72201,4.171875
2022-02-04 14:00:00,9.3785,4.40625
2022-02-04 15:00:00,8.85261,4.40625
2022-02-04 16:00:00,16.2366,4.34375
2022-02-04 17:00:00,13.5045,4.34375
2022-02-04 18:00:00,8.74767,4.046875
2022-02-04 19:00:00,9.62663,3.78125
2022-02-04 20:00:00,13.0178,3.6328125
2022-02-04 21:00:00,10.368,3.3359375
2022-02-04 22:00:00,9.0471,2.890625
2022-02-04 23:00:00,7.62838,2.2890625
2022-02-05 00:00:00,8.48435,1.7421875
2022-02-05 01:00:00,8.27523,1.4453125
2022-02-05 02:00:00,8.55351,1.265625
2022-02-05 03:00:00,9.45118,1.3828125
2022-02-05 04:00:00,6.75403,2.203125
2022-02-05 05:00:00,9.6587,2.859375
2022-02-05 06:00:00,4.97509,3.125
2022-02-05 07:00:00,6.35131,3.484375
2022-02-05 08:00:00,8.00613,3.8671875
2022-02-05 09:00:00,8.7147,4.046875
2022-02-05 10:00:00,10.3572,3.8671875
2022-02-05 11:00:00,8.55682,4.046875
2022-02-05 12:00:00,6.59713,4.703125
2022-02-05 13:00:00,10.1649,5.0
2022-02-05 14:00:00,10.8595,4.9375
2022-02-05 15:00:00,9.77518,4.9375
2022-02-05 16:00:00,9.28562,5.125
2022-02-05 17:00:00,11.4873,5.359375
2022-02-05 18:00:00,11.6175,5.359375
2022-02-05 19:00:00,11.3652,5.296875
2022-02-05 20:00:00,12.618,4.8125
2022-02-05 21:00:00,10.3201,4.9375
2022-02-05 22:00:00,8.51934,5.71875
2022-02-05 23:00:00,6.83371,5.421875
2022-02-06 00:00:00,8.30173,4.40625
2022-02-06 01:00:00,6.74297,3.0078125
2022-02-06 02:00:00,9.48217,2.5625
2022-02-06 03:00:00,6.88273,2.203125
2022-02-06 04:00:00,9.75296,1.9648438
2022-02-06 05:00:00,6.25976,1.8476562
2022-02-06 06:00:00,7.64701,1.9648438
2022-02-06 07:00:00,6.4116,2.0546875
2022-02-06 08:00:00,6.94967,2.109375
2022-02-06 09:00:00,5.56283,2.140625
2022-02-06 10:00:00,5.57515,2.0546875
2022-02-06 11:00:00,6.77138,1.8164062
2022-02-06 12:00:00,6.36021,1.6054688
2022-02-06 13:00:00,6.69548,1.4296875
2022-02-06 14:00:00,7.51171,1.3984375
2022-02-06 15:00:00,6.93213,1.4140625
2022-02-06 16:00:00,6.73315,1.4296875
2022-02-06 17:00:00,7.13825,1.3828125
2022-02-06 18:00:00,7.00657,1.4140625
2022-02-06 19:00:00,8.28775,1.53125
2022-02-06 20:00:00,7.98205,1.5039062
2022-02-06 21:00:00,7.52709,1.4140625
2022-02-06 22:00:00,7.80275,1.265625
2022-02-06 23:00:00,8.53867,1.0117188
2022-02-07 00:00:00,8.973,0.84765625
2022-02-07 01:00:00,10.9384,1.6679688
2022-02-07 02:00:00,13.741,2.3828125
2022-02-07 03:00:00,15.3555,2.828125
